"countopioid","abandon_cars","dead_animals","graffiti","pothole","street_cleaning","trash","NEIGH","Longitude","Latitude"
17,8,4,18,13,7,14,"Northside",-84.5403527325345,39.1577721549126
18,1,7,8,41,7,27,"Northside",-84.540743529653,39.1655584150347
7,3,3,1,10,2,37,"Northside",-84.5411344781731,39.1733446615153
0,0,0,0,0,0,0,"College Hill",-84.5415255781899,39.1811308941896
0,0,1,0,0,0,2,"College Hill",-84.5419168294747,39.1889171133147
7,1,12,0,34,8,26,"College Hill",-84.5423082326744,39.1967033186168
7,2,1,0,20,6,19,"College Hill",-84.5426997873953,39.2044895101679
0,0,0,0,1,1,4,"College Hill",-84.5430914938401,39.2122756879545
3,0,0,15,31,3,0,"Queensgate",-84.5345419138944,39.0994623637884
14,0,0,0,29,0,0,"Queensgate",-84.5349312614697,39.107248750909
30,0,0,3,14,7,0,"West End",-84.5353207596671,39.1150351242993
7,0,8,26,17,16,0,"West End",-84.5357104088952,39.1228214840909
17,0,4,6,9,4,9,"Camp Washington",-84.536100208993,39.1306078301217
157,4,0,3,6,9,19,"Camp Washington",-84.5364901600614,39.1383941624156
6,0,0,9,6,0,3,"Camp Washington",-84.5368802622084,39.1461804810732
2,2,2,2,23,5,4,"Clifton",-84.5372705153965,39.1539667859881
48,4,13,34,26,18,24,"Northside",-84.5376609198535,39.1617530771257
1,0,0,2,14,0,11,"Northside",-84.5380514753459,39.1695393547735
1,0,0,0,2,0,5,"Northside",-84.5384421825562,39.1773256185586
0,0,0,0,0,0,0,"Spring Grove Village",-84.538833040777,39.1851118686866
3,0,6,0,20,6,21,"College Hill",-84.5392240505761,39.1928981049188
4,6,1,0,27,6,42,"College Hill",-84.539615211904,39.2006843277139
0,2,1,0,14,1,10,"College Hill",-84.5400065246286,39.2084705366622
0,0,0,3,1,0,0,"Queensgate",-84.5314627822763,39.0956566789099
